project,migration,mode,input_tokens,output_tokens,total_tokens,cost_usd
eclipse_lemminx,gha_to_travis,zero-shot,607,108,715,0.0026
eclipse_lemminx,gha_to_travis,few-shot,607,91,698,0.00243
elixir-cloud-aai_tesk-api,gha_to_travis,zero-shot,607,115,722,0.00267
elixir-cloud-aai_tesk-api,gha_to_travis,few-shot,607,79,686,0.00231
encircled_Joiner,gha_to_travis,zero-shot,597,114,711,0.00263
encircled_Joiner,gha_to_travis,few-shot,597,64,661,0.00213
FasterXML_jackson-jr,gha_to_travis,zero-shot,602,81,683,0.00232
FasterXML_jackson-jr,gha_to_travis,few-shot,602,84,686,0.00234
feedzai_feedzai-openml,gha_to_travis,zero-shot,830,206,1036,0.00413
feedzai_feedzai-openml,gha_to_travis,few-shot,830,185,1015,0.00392
fiji_Cell_Counter,gha_to_travis,zero-shot,648,97,745,0.00259
fiji_Cell_Counter,gha_to_travis,few-shot,648,98,746,0.0026
fiji_cookbook,gha_to_travis,zero-shot,648,97,745,0.00259
fiji_cookbook,gha_to_travis,few-shot,648,97,745,0.00259
fiji_KymographBuilder,gha_to_travis,zero-shot,648,97,745,0.00259
fiji_KymographBuilder,gha_to_travis,few-shot,648,98,746,0.0026
fiji_pQCT,gha_to_travis,zero-shot,637,71,708,0.0023
fiji_pQCT,gha_to_travis,few-shot,637,57,694,0.00216
fiji_SPIM_Registration,gha_to_travis,zero-shot,674,117,791,0.00285
fiji_SPIM_Registration,gha_to_travis,few-shot,674,118,792,0.00287
fiji_VIB-lib,gha_to_travis,zero-shot,648,97,745,0.00259
fiji_VIB-lib,gha_to_travis,few-shot,648,98,746,0.0026
future-architect_uroborosql,gha_to_travis,zero-shot,898,301,1199,0.00526
future-architect_uroborosql,gha_to_travis,few-shot,898,311,1209,0.00536
gayanvoice_android-vpn-client-ics-openvpn,gha_to_travis,zero-shot,619,87,706,0.00242
gayanvoice_android-vpn-client-ics-openvpn,gha_to_travis,few-shot,619,110,729,0.00265
Gepardec_Hogarama,gha_to_travis,zero-shot,572,80,652,0.00223
Gepardec_Hogarama,gha_to_travis,few-shot,572,60,632,0.00203
gessnerfl_rabbitmq-queue-management,gha_to_travis,zero-shot,648,139,787,0.00301
gessnerfl_rabbitmq-queue-management,gha_to_travis,few-shot,648,126,774,0.00288
gotify_android,gha_to_travis,zero-shot,1147,387,1534,0.00674
gotify_android,gha_to_travis,few-shot,1147,358,1505,0.00645
GrowthcraftCE_Growthcraft-1.12,gha_to_travis,zero-shot,953,279,1232,0.00517
GrowthcraftCE_Growthcraft-1.12,gha_to_travis,few-shot,953,269,1222,0.00507
Hakky54_mutual-tls-ssl,gha_to_travis,zero-shot,913,192,1105,0.0042
Hakky54_mutual-tls-ssl,gha_to_travis,few-shot,913,161,1074,0.00389
hmcts_ccpay-payment-app,gha_to_travis,zero-shot,637,99,736,0.00258
hmcts_ccpay-payment-app,gha_to_travis,few-shot,637,85,722,0.00244
ibissource_iaf,gha_to_travis,zero-shot,614,118,732,0.00271
ibissource_iaf,gha_to_travis,few-shot,614,82,696,0.00235
ical4j_ical4j-connector,gha_to_travis,zero-shot,993,280,1273,0.00528
ical4j_ical4j-connector,gha_to_travis,few-shot,993,277,1270,0.00525
igniterealtime_openfire-xmldebugger-plugin,gha_to_travis,zero-shot,818,203,1021,0.00408
igniterealtime_openfire-xmldebugger-plugin,gha_to_travis,few-shot,818,209,1027,0.00413
imglib_imglib2,gha_to_travis,zero-shot,619,72,691,0.00227
imglib_imglib2,gha_to_travis,few-shot,619,73,692,0.00228
imglib_imglib2-tutorials,gha_to_travis,zero-shot,675,117,792,0.00286
imglib_imglib2-tutorials,gha_to_travis,few-shot,675,118,793,0.00287
inferno-framework_fhir-validator-wrapper,gha_to_travis,zero-shot,687,153,840,0.00325
inferno-framework_fhir-validator-wrapper,gha_to_travis,few-shot,687,64,751,0.00236
io7m_jcamera,gha_to_travis,zero-shot,687,338,1025,0.0051
io7m_jcamera,gha_to_travis,few-shot,687,232,919,0.00404
io7m_jmurmur,gha_to_travis,zero-shot,708,333,1041,0.0051
io7m_jmurmur,gha_to_travis,few-shot,708,283,991,0.0046
io7m_jproperties,gha_to_travis,zero-shot,744,235,979,0.00421
io7m_jproperties,gha_to_travis,few-shot,744,228,972,0.00414
io7m_jsx,gha_to_travis,zero-shot,745,305,1050,0.00491
io7m_jsx,gha_to_travis,few-shot,745,147,892,0.00333
ipregistry_ipregistry-java,gha_to_travis,zero-shot,597,113,710,0.00262
ipregistry_ipregistry-java,gha_to_travis,few-shot,597,95,692,0.00244
jakubplichta_git-changelog-maven-plugin,gha_to_travis,zero-shot,625,182,807,0.00338
jakubplichta_git-changelog-maven-plugin,gha_to_travis,few-shot,625,118,743,0.00274
jbee_silk,gha_to_travis,zero-shot,594,94,688,0.00243
jbee_silk,gha_to_travis,few-shot,594,55,649,0.00203
jboss_tyr,gha_to_travis,zero-shot,543,100,643,0.00236
jboss_tyr,gha_to_travis,few-shot,543,40,583,0.00176
jenkinsci_jira-plugin,gha_to_travis,zero-shot,863,257,1120,0.00473
jenkinsci_jira-plugin,gha_to_travis,few-shot,863,198,1061,0.00414
jeremylong_DependencyCheck,gha_to_travis,zero-shot,1022,317,1339,0.00573
jeremylong_DependencyCheck,gha_to_travis,few-shot,1022,273,1295,0.00528
JetBrains_jediterm,gha_to_travis,zero-shot,574,85,659,0.00228
JetBrains_jediterm,gha_to_travis,few-shot,574,31,605,0.00174
jnidzwetzki_bboxdb,gha_to_travis,zero-shot,813,260,1073,0.00463
jnidzwetzki_bboxdb,gha_to_travis,few-shot,813,286,1099,0.00489
JodaOrg_joda-time,gha_to_travis,zero-shot,787,193,980,0.0039
JodaOrg_joda-time,gha_to_travis,few-shot,787,168,955,0.00365
junit-team_junit5,gha_to_travis,zero-shot,1361,456,1817,0.00796
junit-team_junit5,gha_to_travis,few-shot,1361,411,1772,0.00751
jwtk_jjwt,gha_to_travis,zero-shot,1095,492,1587,0.00766
jwtk_jjwt,gha_to_travis,few-shot,1095,533,1628,0.00807
kaklakariada_portmapper,gha_to_travis,zero-shot,719,125,844,0.00305
kaklakariada_portmapper,gha_to_travis,few-shot,719,109,828,0.00289
knowm_Yank,gha_to_travis,zero-shot,723,175,898,0.00356
knowm_Yank,gha_to_travis,few-shot,723,163,886,0.00344
komoot_photon,gha_to_travis,zero-shot,592,100,692,0.00248
komoot_photon,gha_to_travis,few-shot,592,70,662,0.00218
kordamp_ikonli,gha_to_travis,zero-shot,661,103,764,0.00268
kordamp_ikonli,gha_to_travis,few-shot,661,75,736,0.0024
kryptokrauts_aepp-sdk-java,gha_to_travis,zero-shot,1698,405,2103,0.0083
kryptokrauts_aepp-sdk-java,gha_to_travis,few-shot,1698,342,2040,0.00767
line_decaton,gha_to_travis,zero-shot,607,81,688,0.00233
line_decaton,gha_to_travis,few-shot,607,68,675,0.0022
linkedin_avro-util,gha_to_travis,zero-shot,771,162,933,0.00355
linkedin_avro-util,gha_to_travis,few-shot,771,120,891,0.00313
mate-academy_hibernate-configuration-hw,gha_to_travis,zero-shot,543,72,615,0.00208
mate-academy_hibernate-configuration-hw,gha_to_travis,few-shot,543,36,579,0.00172
mendhak_gpslogger,gha_to_travis,zero-shot,770,125,895,0.00317
mendhak_gpslogger,gha_to_travis,few-shot,770,125,895,0.00317
michaelliao_itranswarp,gha_to_travis,zero-shot,582,98,680,0.00244
michaelliao_itranswarp,gha_to_travis,few-shot,582,66,648,0.00212
micheljung_nocatch,gha_to_travis,zero-shot,839,245,1084,0.00455
micheljung_nocatch,gha_to_travis,few-shot,839,196,1035,0.00406
miho_VTCC,gha_to_travis,zero-shot,639,157,796,0.00317
miho_VTCC,gha_to_travis,few-shot,639,77,716,0.00237
MilkBowl_VaultAPI,gha_to_travis,zero-shot,672,223,895,0.00391
MilkBowl_VaultAPI,gha_to_travis,few-shot,672,121,793,0.00289
MineLittlePony_BigPony,gha_to_travis,zero-shot,731,101,832,0.00284
MineLittlePony_BigPony,gha_to_travis,few-shot,731,88,819,0.00271
MineLittlePony_HDSkins,gha_to_travis,zero-shot,731,106,837,0.00289
MineLittlePony_HDSkins,gha_to_travis,few-shot,731,84,815,0.00267
minio_minio-java,gha_to_travis,zero-shot,732,197,929,0.0038
minio_minio-java,gha_to_travis,few-shot,732,137,869,0.0032
msmobility_silo,gha_to_travis,zero-shot,677,195,872,0.00364
msmobility_silo,gha_to_travis,few-shot,677,158,835,0.00327
neo4j-contrib_neo4j-jdbc,gha_to_travis,zero-shot,580,113,693,0.00258
neo4j-contrib_neo4j-jdbc,gha_to_travis,few-shot,580,45,625,0.0019
NetLogo_Matrix-Extension,gha_to_travis,zero-shot,649,99,748,0.00261
NetLogo_Matrix-Extension,gha_to_travis,few-shot,649,95,744,0.00257
nhl_dflib,gha_to_travis,zero-shot,846,301,1147,0.00512
nhl_dflib,gha_to_travis,few-shot,846,215,1061,0.00426
nkonev_blog,gha_to_travis,zero-shot,1212,621,1833,0.00924
nkonev_blog,gha_to_travis,few-shot,1212,541,1753,0.00844
nsoft_jesterj,gha_to_travis,zero-shot,772,166,938,0.00359
nsoft_jesterj,gha_to_travis,few-shot,772,137,909,0.0033
OHNLP_MedTagger,gha_to_travis,zero-shot,847,243,1090,0.00455
OHNLP_MedTagger,gha_to_travis,few-shot,847,251,1098,0.00463
opencadc_cadc-target-resolver,gha_to_travis,zero-shot,1310,631,1941,0.00958
opencadc_cadc-target-resolver,gha_to_travis,few-shot,1310,566,1876,0.00894
OpenLiberty_ci.maven,gha_to_travis,zero-shot,856,281,1137,0.00495
OpenLiberty_ci.maven,gha_to_travis,few-shot,856,382,1238,0.00596
OpenLiberty_guide-arquillian-managed,gha_to_travis,zero-shot,1148,537,1685,0.00824
OpenLiberty_guide-arquillian-managed,gha_to_travis,few-shot,1148,336,1484,0.00623
OpenLiberty_guide-cloud-azure,gha_to_travis,zero-shot,817,249,1066,0.00453
OpenLiberty_guide-cloud-azure,gha_to_travis,few-shot,817,253,1070,0.00457
orien_bean-matchers,gha_to_travis,zero-shot,614,131,745,0.00285
orien_bean-matchers,gha_to_travis,few-shot,614,78,692,0.00231
OSGeo_PROJ-JNI,gha_to_travis,zero-shot,1021,447,1468,0.00702
OSGeo_PROJ-JNI,gha_to_travis,few-shot,1021,372,1393,0.00627
otavanopisto_muikku,gha_to_travis,zero-shot,746,136,882,0.00323
otavanopisto_muikku,gha_to_travis,few-shot,746,130,876,0.00317
otto-de_synapse,gha_to_travis,zero-shot,1110,467,1577,0.00745
otto-de_synapse,gha_to_travis,few-shot,1110,387,1497,0.00664
parse-community_Parse-SDK-Android,gha_to_travis,zero-shot,903,277,1180,0.00503
parse-community_Parse-SDK-Android,gha_to_travis,few-shot,903,245,1148,0.00471
Paul2708_simple-commands,gha_to_travis,zero-shot,708,197,905,0.00374
Paul2708_simple-commands,gha_to_travis,few-shot,708,174,882,0.00351
PepperLola_playerinfo,gha_to_travis,zero-shot,987,287,1274,0.00534
PepperLola_playerinfo,gha_to_travis,few-shot,987,285,1272,0.00532
Pi4J_pi4j-v2,gha_to_travis,zero-shot,705,157,862,0.00333
Pi4J_pi4j-v2,gha_to_travis,few-shot,705,155,860,0.00331
playframework_play1,gha_to_travis,zero-shot,645,128,773,0.00289
playframework_play1,gha_to_travis,few-shot,645,113,758,0.00274
PojavLauncherTeam_PojavLauncher,gha_to_travis,zero-shot,1054,294,1348,0.00558
PojavLauncherTeam_PojavLauncher,gha_to_travis,few-shot,1054,321,1375,0.00585
primefaces-extensions_primefaces-integration-tests,gha_to_travis,zero-shot,1080,561,1641,0.00831
primefaces-extensions_primefaces-integration-tests,gha_to_travis,few-shot,1080,397,1477,0.00667
princesslana_smalld,gha_to_travis,zero-shot,939,349,1288,0.00584
princesslana_smalld,gha_to_travis,few-shot,939,249,1188,0.00484
qlefevre_crud-admin-spring-boot-starter,gha_to_travis,zero-shot,648,110,758,0.00272
qlefevre_crud-admin-spring-boot-starter,gha_to_travis,few-shot,648,121,769,0.00283
qos-ch_slf4j,gha_to_travis,zero-shot,584,102,686,0.00248
qos-ch_slf4j,gha_to_travis,few-shot,584,72,656,0.00218
radixdlt_radixdlt,gha_to_travis,zero-shot,769,227,996,0.00419
radixdlt_radixdlt,gha_to_travis,few-shot,769,98,867,0.0029
ralscha_xodus-queue,gha_to_travis,zero-shot,670,154,824,0.00321
ralscha_xodus-queue,gha_to_travis,few-shot,670,85,755,0.00253
reaktivity_nukleus-http.java,gha_to_travis,zero-shot,629,95,724,0.00252
reaktivity_nukleus-http.java,gha_to_travis,few-shot,629,52,681,0.00209
reaktivity_nukleus-maven-plugin,gha_to_travis,zero-shot,627,76,703,0.00233
reaktivity_nukleus-maven-plugin,gha_to_travis,few-shot,627,54,681,0.00211
reaktivity_nukleus-tcp.spec,gha_to_travis,zero-shot,627,89,716,0.00246
reaktivity_nukleus-tcp.spec,gha_to_travis,few-shot,627,52,679,0.00209
redhat-developer_quarkus-ls,gha_to_travis,zero-shot,696,218,914,0.00392
redhat-developer_quarkus-ls,gha_to_travis,few-shot,696,105,801,0.00279
renyuneyun_Easer,gha_to_travis,zero-shot,1076,451,1527,0.0072
renyuneyun_Easer,gha_to_travis,few-shot,1076,363,1439,0.00632
Sandec_JMemoryBuddy,gha_to_travis,zero-shot,565,78,643,0.00219
Sandec_JMemoryBuddy,gha_to_travis,few-shot,565,48,613,0.00189
saucelabs_ci-sauce,gha_to_travis,zero-shot,592,107,699,0.00255
saucelabs_ci-sauce,gha_to_travis,few-shot,592,78,670,0.00226
selenide_selenide,gha_to_travis,zero-shot,1857,722,2579,0.01186
selenide_selenide,gha_to_travis,few-shot,1857,549,2406,0.01013
sizovs_PipelinR,gha_to_travis,zero-shot,590,93,683,0.00241
sizovs_PipelinR,gha_to_travis,few-shot,590,67,657,0.00215
Smarteon_loxone-java,gha_to_travis,zero-shot,997,247,1244,0.00496
Smarteon_loxone-java,gha_to_travis,few-shot,997,266,1263,0.00515
societe-generale_arch-unit-build-plugin-core,gha_to_travis,zero-shot,934,285,1219,0.00519
societe-generale_arch-unit-build-plugin-core,gha_to_travis,few-shot,934,256,1190,0.0049
sockeqwe_AdapterDelegates,gha_to_travis,zero-shot,690,147,837,0.00319
sockeqwe_AdapterDelegates,gha_to_travis,few-shot,690,140,830,0.00312
sofastack_sofa-bolt,gha_to_travis,zero-shot,890,271,1161,0.00494
sofastack_sofa-bolt,gha_to_travis,few-shot,890,246,1136,0.00468
sofastack_sofa-registry,gha_to_travis,zero-shot,604,109,713,0.0026
sofastack_sofa-registry,gha_to_travis,few-shot,604,79,683,0.0023
spigotplugins_fakeplayer,gha_to_travis,zero-shot,566,127,693,0.00268
spigotplugins_fakeplayer,gha_to_travis,few-shot,566,62,628,0.00203
splitio_android-client,gha_to_travis,zero-shot,649,99,748,0.00261
splitio_android-client,gha_to_travis,few-shot,649,81,730,0.00243
spring-cloud_spring-cloud-zookeeper,gha_to_travis,zero-shot,797,255,1052,0.00454
spring-cloud_spring-cloud-zookeeper,gha_to_travis,few-shot,797,241,1038,0.0044
TagnumElite_ProjectE-Integration,gha_to_travis,zero-shot,773,350,1123,0.00543
TagnumElite_ProjectE-Integration,gha_to_travis,few-shot,773,330,1103,0.00523
tanersener_smart-exception,gha_to_travis,zero-shot,639,111,750,0.00271
tanersener_smart-exception,gha_to_travis,few-shot,639,114,753,0.00274
tdebatty_java-string-similarity,gha_to_travis,zero-shot,598,107,705,0.00257
tdebatty_java-string-similarity,gha_to_travis,few-shot,598,78,676,0.00228
tdf_odftoolkit,gha_to_travis,zero-shot,550,80,630,0.00218
tdf_odftoolkit,gha_to_travis,few-shot,550,40,590,0.00178
ThatKawaiiSam_Assemble,gha_to_travis,zero-shot,721,201,922,0.00381
ThatKawaiiSam_Assemble,gha_to_travis,few-shot,721,114,835,0.00294
thepieterdc_dodona-plugin-jetbrains,gha_to_travis,zero-shot,560,75,635,0.00215
thepieterdc_dodona-plugin-jetbrains,gha_to_travis,few-shot,560,47,607,0.00187
TrNdy_mastodon-tracking,gha_to_travis,zero-shot,601,71,672,0.00221
TrNdy_mastodon-tracking,gha_to_travis,few-shot,601,72,673,0.00222
tsandmann_ct-sim,gha_to_travis,zero-shot,570,151,721,0.00294
tsandmann_ct-sim,gha_to_travis,few-shot,570,34,604,0.00177
tsjensen_sercoll,gha_to_travis,zero-shot,759,162,921,0.00352
tsjensen_sercoll,gha_to_travis,few-shot,759,164,923,0.00354
Twasi_twasi-core,gha_to_travis,zero-shot,1009,327,1336,0.00579
Twasi_twasi-core,gha_to_travis,few-shot,1009,187,1196,0.00439
typetools_guava,gha_to_travis,zero-shot,948,325,1273,0.00562
typetools_guava,gha_to_travis,few-shot,948,328,1276,0.00565
utarwyn_SuperJukebox,gha_to_travis,zero-shot,720,231,951,0.00411
utarwyn_SuperJukebox,gha_to_travis,few-shot,720,136,856,0.00316
uw-loci_misc-plugins,gha_to_travis,zero-shot,631,96,727,0.00254
uw-loci_misc-plugins,gha_to_travis,few-shot,631,97,728,0.00255
vert-x3_vertx-bridge-common,gha_to_travis,zero-shot,834,248,1082,0.00456
vert-x3_vertx-bridge-common,gha_to_travis,few-shot,834,175,1009,0.00383
vert-x3_vertx-web,gha_to_travis,zero-shot,1327,549,1876,0.00881
vert-x3_vertx-web,gha_to_travis,few-shot,1327,520,1847,0.00852
vlingo_xoom-turbo,gha_to_travis,zero-shot,790,294,1084,0.00492
vlingo_xoom-turbo,gha_to_travis,few-shot,790,215,1005,0.00413
wcm-io-devops_conga-sling-plugin,gha_to_travis,zero-shot,752,201,953,0.00389
wcm-io-devops_conga-sling-plugin,gha_to_travis,few-shot,752,190,942,0.00378
WISVCH_events,gha_to_travis,zero-shot,1005,357,1362,0.00608
WISVCH_events,gha_to_travis,few-shot,1005,324,1329,0.00575
wte4j_wte4j,gha_to_travis,zero-shot,672,218,890,0.00386
wte4j_wte4j,gha_to_travis,few-shot,672,196,868,0.00364
xenit-eu_alfresco-docker-gradle-plugin,gha_to_travis,zero-shot,1121,436,1557,0.00716
xenit-eu_alfresco-docker-gradle-plugin,gha_to_travis,few-shot,1121,414,1535,0.00694
xerial_sqlite-jdbc,gha_to_travis,zero-shot,606,119,725,0.0027
xerial_sqlite-jdbc,gha_to_travis,few-shot,606,68,674,0.00219
xuxueli_xxl-job,gha_to_travis,zero-shot,574,90,664,0.00233
xuxueli_xxl-job,gha_to_travis,few-shot,574,63,637,0.00206
YakushevVladimir_BibleQuote-for-Android,gha_to_travis,zero-shot,679,141,820,0.00311
YakushevVladimir_BibleQuote-for-Android,gha_to_travis,few-shot,679,137,816,0.00307
yuxuanchiadm_SkyCraftUpdater,gha_to_travis,zero-shot,563,75,638,0.00216
yuxuanchiadm_SkyCraftUpdater,gha_to_travis,few-shot,563,45,608,0.00186
